Google,650,2530000,support-in@google.com,https://www.google.com/,https://support.google.com/,TRUE,GOOGL,TRUE,TRUE
Apple,800,2752273,Not Provided ,https://www.apple.com/,https://www.apple.com/contact/,TRUE,AAPL,TRUE,TRUE
Atlassian,512,6403000,Not Provided ,https://www.atlassian.com/,https://www.atlassian.com/company/contact,TRUE,TEAM,TRUE,TRUE
Avast,866,9517679,Not Provided ,https://www.avast.com/en-us,https://www.avast.com/en-us/contacts#mac,TRUE,AVAST,TRUE,TRUE
Best Buy,888,2378289,onlinestore@bestbuy.com,https://www.bestbuy.com/,https://www.bestbuy.com/services/remotesupport,TRUE,BBY,TRUE,TRUE
BitDefender,954,9282780,Not Provided ,https://www.bitdefender.com/,https://www.bitdefender.com/consumer/support/,FALSE,NONE,TRUE,TRUE
Cisco,800,5536387,Not Provided ,https://www.cisco.com/,https://www.cisco.com/c/en/us/about/contact-cisco.html,TRUE,CSCO,TRUE,TRUE
Comcast,800,2662278,Not Provided ,https://www.xfinity.com/hub,https://www.xfinity.com/support/,TRUE,CMCSK,TRUE,TRUE
Facebook,650,5434800,Not Provided ,https://www.facebook.com/,https://www.facebook.com/help/,TRUE,MVRS,FALSE,TRUE
Microsoft,800,4269400,Not Provided ,https://www.microsoft.com/en-us,https://support.microsoft.com/en-US,TRUE,MSFT,TRUE,TRUE
HP,800,4746836,Not Provided ,https://www.hp.com/us-en/home.html,https://support.hp.com/us-en/contact,TRUE,HPQ,TRUE,TRUE
Lenovo,855,2536686,Not Provided ,https://www.lenovo.com/us/en/?orgRef=https%253A%252F%252Fwww.computerhope.com%252F,https://www.lenovo.com/us/en/contact/?orgRef=https%253A%252F%252Fwww.computerhope.com%252F&referer=https%3A%2F%2Fwww.computerhope.com%2F,TRUE,HK.992,FALSE,TRUE
MetroPCS,888,8638768,Not Provided ,https://www.metrobyt-mobile.com/,https://www.metrobyt-mobile.com/contact-us?INTNAV=tNav%3AContactandsupport%3AHelpandsupport,TRUE,TMUS,FALSE,TRUE
Mitsubishi,81,332182111,support@mitsubishi-mobile.com,https://www.mitsubishi.com/en/,None Provided,TRUE,MSBHY,FALSE,FALSE
Nokia,888,6654228,Not Provided ,https://www.nokia.com/,https://www.nokia.com/contact-us/,TRUE,NOK,FALSE,FALSE
